Index,Abstract,Reviewer,True label,Comments,Requires expert review,JH Review,Prediction
1408,"A method for determining slippage of at least one wheel of at least one vehicle having a motor and a processor that communicates velocity commands to the motor for varying a velocity of the vehicle is presented. The method includes determining an actual velocity of the vehicle over regular intervals; comparing, over regular intervals, the actual velocity of the vehicle to the expected velocity from the magnitude of the velocity commands to determine whether there is slip of the wheel of the vehicle; and reducing the magnitude of the velocity commands to equal approximately the actual velocity of the vehicle where there is slip of the wheel. A system and circuit carrying out the method are also presented.",Zara,No,method for measuring how cars slip,,,Yes
1432,"A self-contained system for measuring forces applied by the foot of a user includes a force sensor array positioned within the user&#39;s shoe between the foot and the inner sole of the shoe. The force sensor array including a multiplicity of individual force sensors arranged in a pattern that covers the area of contact between the sole of the user&#39;s foot and the inner sole of the shoe, and a substrate material which is so rigid that it will not operatively conform to the user&#39;s foot unless a plurality of shaped cutout portions of the substrate material is removed in order to allow the force sensor array to operatively conform to the user&#39;s foot when force is applied. An electronic circuit module is removably attached to the side of the shoe and a flat interconnecting cable electrically couples the force sensor array to the electronic circuit module. An annuniciator audibly signals the user when a force on the foot greater than a predetermined threshold force is sensed.",Johanna,No,force sensor,,,No
1444,"Certain aspects of the disclosure pertain to methods and apparatus for providing positive fixation of medical components to a portion of incised pericardial tissue. Accordingly, a resilient member protrudes through an incision in the pericardium and produces a positive biasing force to adjacent pericardial tissue against a side surface of an attached body structure. The resilient member can optionally be compressed during implantation and then relaxed to thereafter provide the positive biasing force. Diverse medical components can thus be safely and reliably chronically deployed into the pericardial space, including without limitation, cardiac sensing/pacing, defibrillation and/or cardioversion electrodes, mechanical and/or metabolic sensors and the like. More than one body structure can be linked to a single medical electrical lead and the medical components can couple within and/or upon a portion of the body structure, the resilient member, and the lead in myriad configurations.",Rohan,No,,,,No
1452,"A braking device for small recreational vehicles, such as roller skates or skateboards, having brake pads positioned in close proximity to the wheels of the recreational vehicle. The brake shoes are brought into operative contact with the wheels to effect braking under the action of a hand squeezable bulb. The braking assembly transmits the pressure created from squeezing a bulb through a conduit to a pressure activated member, such as an inflatable bladder, to displace the brake shoes to their braking position. Braking pressure may be maintained through the use of a valve. The braking conduit may be easily disengaged from the pressure activated member so that the recreational vehicle may alternatively be used in a conventional fashion having no braking capability.",Raymond,No,,,,No
1458,"A multifunction ophthalmic apparatus, capable of efficiently measuring and examining eye characteristics respectively, has an measurement part including a unit blowing fluid to a cornea via a nozzle for measuring intraocular pressure of an examinee&#39;s eye, a reflection member having a reflection surface, arranged insertably and removably between the eye and the nozzle, an examination part storing an optical system, which photo-receives reflection light from the eye reflected by the member for examination, a main body storing the parts, a first unit moving the body relative to the eye in working distance direction, a second unit moving the measurement part relative to the body in the direction, a third moving unit inserting and removing the member, a device for emitting a switching signal between a first mode for examination and a second mode for measurement, and a unit controlling driving of the second and third moving units on the signal.",Lior,No,Not at all relater to AU.,,,No
1535,"A method for state detection of a cutting device for agricultural crop is described. The cutting device is formed with a cutting tool set into rotation with respect to a shear bar operates such that a clearance position of the shear bar is changeable with respect to the cutting too. The method includes assigning at least two interspaced sensors for detecting vibrations to the shear bar caused by the cutting tool upon contact with the shear bar, transmitting signals generated by the sensors to a common signal analysis device and, the common signal analysis device comparing the signals and determining a state of the cutting device.",Jamie,No,Aagriculture,,,No
1538,"A method for producing viral gene delivery vehicles which can be transferred to pre-selected cell types by using targeting conjugates. The gene delivery vehicles comprise: 1) the gene of interest; and 2) a viral capsid or envelope carrying a member of a specific binding pair, the counterpart of which is not directly associated with the surface of the target cell. These vehicles can be rendered unable to bind to their natural cell receptor. The targeting conjugates include the counterpart member of the specific binding pair, linked to a targeting moiety which is a cell-type specific ligand (or fragments thereof). The number of the specific binding pair present on the viral vehicles can be, for example, an immunoglobulin binding moiety (e.g., capable of binding to a Fc fragment, protein A, protein G, FcR or an anti-Ig antibody), or biotin, avidin or streptavidin. The virus&#39; outer membrane or capsid may contain a substance which mediates entrance of the gene delivery vehicle into the target cell. Due to the specificity of the ligand, the binding pair&#39;s high affinity, and the gene delivery vehicle&#39;s inability to be targeted when used alone, the universality of the method for gene delivery, together with its high cell type selectively can be achieved by using various targeting conjugates.",Zara,No,biomed,,,No
1599,"A mattress is disclosed having an overall size and shape that enable it to fit securely in the back of a pick-up truck, SUV, mini-SUV or some other vehicle. While the specifications and examples listed herein assume a full-size vehicle, a proportionally smaller mattress can be configured to accommodate mid-size or smaller vehicles.",Johanna,No,,,,No
1641,"An ultraviolet area sterilizer (UVAS) is mobile or stationary. The UVAS is positioned in a room, such an operating room or intensive care unit. Motion detectors sense movement, to assure that personnel have evacuated the space to be sterilized. Subsequently, UV-C generators, such mercury bulbs, generate UV-C from multiple locations within the room or other enclosed space. Multiple UV-C sensors scan the room, and determine the area reflecting the lowest level of UV-C back to the sensors. The device calculates the time required to obtain a bactericidal dose of UV-C reflected back to the sensors. Once an effective bactericidal dose has been reflected to all the sensors, the unit notifies the operator and shuts down.",Rohan,No,,,,No
1667,"An object of the present invention is to impose a penalty on a player, without causing a sudden deceleration, when a moving body moving on a course formed in a virtual space contacts a sidewall at the edge of the course. To achieve this object, assume that a vehicle running on a course formed in a virtual space has contacted a sidewall at point A which corresponds to the 0 th  frame. Whereupon, at point B which corresponds to the 1 st  frame, an amount, Rf, is subtracted from vehicle speed V, and from the 2 nd  frame until point C which corresponds to the 60t th  frame, processing to subtract RSd from vehicle speed V is successively performed.",Raymond,No,,,,No
1675,"An automotive vehicle includes a vehicle body and at least one reservoir containing a fire suppressant agent. A distribution system receives the fire suppression agent from the reservoir and conducts the agent to at least one location about the vehicle&#39;s body in response to the determination by a sensor system and controller that the vehicle has been subjected to a significant impact. The sensor system and controller determine not only the magnitude of an impact upon the vehicle, but also track subsequent motion of the vehicle, as well as the time which has elapsed since an impact, so as to decide if and when the fire suppressant agent should be dispersed. Alternatively, the fire suppressant agent may be dispersed following activation of a manual switch.",Lior,Yes,,,,No
1679,"A ski brake having at least one braking leg, which is pivotal by a force applied by a ski boot or by a sole plate to a pedal about an axle, which extends substantially at a right angle with respect to the longitudinal axis of the ski in a mounting member which is secured to the ski, from a braking position against a spring force into a retracted position. The braking leg is pivotal about a swivel shaft which extends in longitudinal direction of the ski when the ski brake is in the retracted position. The braking leg has a sliding segment thereon which slidingly engages during the swing of the ski brake from the retracted position into the braking position a ski binding part to thereby positively effect a driving of the braking mandrel about the axis of the swivel shaft laterally outwardly beyond the lateral edges of the ski.",Jamie,No,ski brake,,,No
1683,"A lawn mower comprises a blade drive shaft with a blade rotatably mounted inside a mower deck supported by a vehicle body, a blower unit including a cylindrical blower housing connected to a grass clippings discharging section provided in a side end region of the mower deck, a vertical drive shaft having a shaft portion with vanes attached thereto inside the blower housing and a shaft portion extending upward through the blower housing, and a discharging sleeve projecting rearwardly along an outer tangent line of the blower housing, a grass collecting apparatus mounted rearwardly of the vehicle body, a duct for allowing the discharging sleeve to communicate with the grass collecting apparatus, and a belt-type blower driving mechanism for driving the vertical drive shaft of the blower unit. The belt-type blower driving mechanism includes an intermediate vertical shaft disposed rearwardly of the blower housing, and a belt transmission unit for transmitting power from the blade drive shaft to the vertical drive shaft through the intermediate vertical shaft.",Zara,No,lawnmower,,,No
1721,"A temperature probe for monitoring temperatures of a surface of a tissue or organ within the body of a subject includes a section with a substantially two-dimensional arrangement and a plurality of temperature sensors positioned across an area defined by the substantially two-dimensional arrangement. Such an apparatus may be used in conjunction with procedures in which thermal techniques are used to diagnose a disease state or treat diseased tissue. Specifically, a temperature probe may be used to monitor temperatures across an area of a surface of a tissue or organ located close to the treated tissue to prevent subjection of the monitored tissue or organ to potentially damaging temperatures.",Johanna,No,temp probe,,,No
1774,"This invention relates to a multi-purpose article carrier for a personal mobility vehicle, such as a motorized mobility scooter or other powered mobility vehicle, of the type used to transport a disabled person. The present invention provides a light weight, easily installed and removable means whereby the user can easily and temporarily expand the carrying capacity of the personal mobility vehicle. The present invention does not appreciably add to the wind resistance, does not damage the vehicle, and is easy to drive and maneuver, since no portion of the device touches the ground while the vehicle is moving, and is easy to store when not in use.",Rohan,No,,,,No
1803,"A mop assembly with liquid detergent supply has a detergent storage bottle connected between the mop and the handle of a mop, a pump installed inside the storage bottle, a sucking tube disposed at one end of the pump, and an outlet nozzle connected with the storage bottle disposed on the other end of the pump, so that the handle pushes the pump and compresses a spring to resume the pump into its original position. Such back and forth movement squeezes the liquid detergent out from the pump and sucks liquid detergent into the pump when the pump resumes its position, and thus spraying the detergent out from the outlet nozzle. By means of the handle directly driving the pump in the storage bottle for the back and forth squeezing, it gives the convenience of supplying detergent before mopping. Furthermore, an n-shape contractible support rod is disposed each on both sides of the mop to fit mops of different specifications, and thus having the effect of expanding the applications.",Raymond,No,,,,No
1812,An integral pump assembly may be used to power a toy vehicle. The pump pressurizes fluid stored within the pressure vessel. The pressurized fluid within the pressure vessel drives the engine that powers the toy vehicle until the stored pressurized fluid has been depleted. The pump may then repressurize the pressure vessel to again drive the pneumatic engine. The pump is substantially disposed within the body of the toy vehicle.,Lior,No,Toy vehicle,,,No
1831,"A method for the treatment of ischemic damage, such as damage due to stroke or myocardial infarction, is provided, comprising administering to a mammal afflicted with stroke, an effective amount of a progestin in a suitable vehicle.",Jamie,No,healthcare,,,No
1846,"A method for the validation of physiological data, acquired in two or more parts of the human body by sensors connected to a medical device, for the statistical validation of the relationship among the signals retrieved by the medical devices, in order to select information that increases the accuracy of the study being carried out, with a high statistical certainty. The purpose of the actual invention is to make this statistically validated data available for use by protocols or reference values, according to the field of application, which increase accuracy of the studies being carried out.",Zara,No,validating health data,,,No
1856,"A suite of testing and evaluation tools that run in conjunction with a smartphone that can be used to both enroll, and for subsequent enrollees, to gain secure access so that the program may measure, track and report on tests, including activities, that may indicate general health and wellness status. Here, the word “smartphone” includes any handheld or mobile device containing at least one processor. The smartphone can be used as the platform for this suite of tools that can include applications that run independently on the smartphone device, but can also include sensors and other data acquisition tools that can be peripheral to the smartphone and connected by wire or wirelessly.",Johanna,No,smartphone,,,No
1946,"A female security device placed within a vaginal cavity to protect and minimize physical damage caused by physical sexual intercourse. The female security device includes a cylindrical housing including a first open end and a second closed end. The second closed end is inserted deeper within the vaginal cavity than the first open end and an inner surface of the cylindrical housing is able to absorb any fluid dispensed therein. Pressure sensors are positioned therearound for sensing contractions in walls of the vaginal cavity and a pressure sensor is positioned therein for sensing pressure caused by insertion of an object into the cylindrical cavity. A needle is positioned to extend into the cylindrical cavity for contacting the object inserted therein and retaining a tissue sample of the object. A microcomputer is connected to the external and internal sensors for determining when an object has been inserted therein and a reservoir is connected for releasing an identification dye to discolor the object upon making such a determination. Furthermore, the needle is able to inject a tissue irritant into the object upon contact therewith and thus cause an irritation to form. An auditory recorder may also be connected to the microcomputer and activated upon a determination that an object has been inserted therein for recording all sounds occurring during the sexual intercourse and a vibrating ring may be activated at that time to notify the user that the device has been activated.",Rohan,No,,,,No
1979,"Opiates, amphetamines, barbiturates and other drugs such as benzodiazepines are extensively abused or misused and are frequently the cause of death by overdosing. These drugs are also prone to oxidation and the final degradation products depend on the reactants and the reaction conditions. This invention describes the use of inactivating agents such as permanganates, peroxides, persulfates, bismuthates, periodates or other oxidants in a dosage form as an approach to minimize abuse and overdose. The product is designed such that the inactivating agent is released if there is an attempt to extract the drug from the formulation or in cases of overdose. Once released, the inactivating agent quickly degrades the drug and converts it into inactive compounds. Since the reactants (drug and inactivating agent) are incompatible in situations of normal drug usage, they are kept separated within the vehicle of the invention, but released for interaction in case of misuse. A catalyst may be included in the formulation to facilitate the reaction.",Raymond,No,,,,No
2003,"Compositions for treating skin, hair and nails which contain 25-hydroxycalciferol in combination with a lipid ingredient. The compositions avoid the toxic effects of 1,25-dihydroxycalciferol, yet attain keratinocyte differentiation and provide additional benefits. Also disclosed is a method of improving or preventing the appearance of wrinkled, flaky, aged, photodamaged skin by applying to skin a composition containing in a cosmetically acceptable vehicle 25-hydroxycalciferol and a lipid ingredient.",Lior,No,Not at all relater to AU.,,,No
2008,"Shown are a device, system and method that improve the diabetes care of a patient that has undergone gastric surgery. The device provides continuously or intermediate monitoring at various intervals before and after meals of several sensors to perceive, among other things, the blood glucose level, EKG/heart rate and volume of meals a patient has consumed. Readings are sent to a control unit that receives input from at least one of: a meal sensor, glucose monitor, and EKG sensor to control a drug delivery unit that doses a prescribed agent at a specific quantity and time based on the readings to provide proper diabetes care for the patient. Components of the system such as the meal sensor glucose monitor, EKG sensor, control unit and drug delivery device may be implanted subcutaneously in the patient or outside the patient and may communicate with each other either wirelessly or may be directly wired together.",Jamie,No,diabetes healthcare,,,No
2042,"A vehicle wheel assembly is provided which includes a vehicle frame having a first axle, a wheel assembly having a housing with an aperture engaging the first axle and enabling the wheel assembly to pivot in a first plane about a first axis formed by the first axle. A cylindrical member is carried by the housing of the wheel assembly, the cylindrical member and housing are arranged perpendicular to the first axle. A first wheel is pivotably connected to a first portion of the cylindrical member and a second wheel is pivotably connected to a second portion of the cylindrical member. The first wheel and second wheel independently pivot in a second plane about a second axis formed by the cylindrical member. The first axis is arranged perpendicular to the second axis and the first plane is arranged perpendicular to the second plane.",Zara,no,vehicle chassis,,,No
2044,"A lifter particularly usable for an LC display unit includes a slide board bearing the display unit overhead and driven for vertical movement by a lift drive motor associated with a swing arm kept in rolling contact with the slide board, a gear assembly mounted to the slide board for converting rotation of a tilt drive motor into corresponding tilting of the display unit, and various sensors for controlling rotation of the motors on detection of the positions of the display unit. Vertical movement of the display unit requires a quarter rotation of the swing arm which is very small in ambit and, as a consequence, a compact and light design of the entire lifter construction. The rolling contact of the swing arm with the slide board assures reliable fail-safe function when smooth vertical movement of the slide board is hindered by accidental introduction of a foreign matter in its path of travel.",Johanna,No,control lift mechanism,,,No
2053,"The present invention relates to a nutraceutical formulation useful for increasing the concentrations of circulating stem cells in a mammal. Disclosed are compositions of matter for increasing the concentrations of circulating stem cells in the blood, consisting of a mixture of natural compounds comprising: ashwagandha, milk thistle, vitamin D3, fucoidan, and garcinia indica. One embodiment of the present invention describes a method for increasing circulating concentrations of stem cells in a mammal using an oral delivery vehicle containing said combination of natural compounds.",Rohan,No,,,,No
2155,"A non-contaminating catheter includes a hollow tube having an axial lumen extending along the length thereof, and an elongated, tubular, flexible membrane disposed within the lumen. The leading end of the membrane is circumferentially folded back over the leading edge of the tube and fixed to a guide assembly. As the catheter is inserted into a patient, the membrane is dram through the tube and out the leading edge of the tube. Once the catheter is fully inserted, the membrane circumscribes the tube; thus, contact between the tube and the patient is substantially, if not entirely, prevented during insertion of the catheter over the length of the membrane. More particularly, the membrane is laid out as the catheter is urged along the anatomical canal and thus remains interposed between the exterior wall of the catheter and the patient&#39;s internal organs (e.g., the urethra). Sliding frictional contact between the catheter tube and the urethral mucosa is inhibited and the passive transportation of pathogens in the lower urinary tract concomitantly prevented. Various methods of making and using the catheter of the present invention are also disclosed.",Raymond,No,,,,No
2216,"The present invention is a Cane/walking aid that provides the user with many security features along with mobility support. The cane/walking aid can be placed under the doorknob to secure the door(s) as a door-jamming device. The cane/walking aid will provide balance and mobility support. Life-saving medical alert information (identification, illnesses and medications) will be readily available inside the cane/walking aid. A safety alarm will sound if the user pulls the alarm string, which is to be wrapped around the user&#39;s wrist. This high-decibel alarm will also sound if the user becomes separated from the cane/walking aid. It also has a flashing safety light and a built in flashlight. The cane will have mace, an alarm, and/or other personal self-defense devices within. A G.P.S. device or a talking G.P.S. is provided for navigation. The cane/walking aid can accommodate an electronic insect repellent device.",Lior,No,Not at all relater to AU.,,,No
2217,"A golf club head which is more durable, capable of driving a golf ball further and providing a desirable, &#34;soft&#34; feeling when hitting the golf ball. These objectives are achieved by configuring the head to efficiently transmit and store potential energy due to impact with the golf ball. The head comprises a hollow shell defining a cup portion and an opening or concave portion which receives a face plate. The face plate forms a contact surface for striking a golf ball. The structural arrangement causes the hollow shell to elastically deform upon contact with a golf ball to enhance driving performance.",Jamie,No,golf club,,,No
2249,An apparatus for the treatment of a medical liquid has a liquid treatment machine and a cassette that is insertable in the machine. The cassette has a rigid base body with fitted chambers and passages and a foil that covers the chambers and passages. Actuators and sensors are arranged in the liquid treatment machine for the operation of the apparatus with the inserted cassette such that cassettes are insertable in different integration shapes.,Zara,No,medical stuff,,,No
2291,"Apparatus for use in combination with all types of standard wheelchairs for immobilizing or restraining the wheelchair in a stationary condition when the wheelchair is loaded or carried on a vehicle, transport system or other structure subject to bouncing, random motion or acceleration and deceleration forces is disclosed. Securing and releasing the apparatus may be controlled by the wheelchair occupant and comprises a latching mechanism which attaches to all types of wheelchairs and which is controlled by a lever easily operated by a wheelchair occupant having only minimum use of one hand. A bar which cooperates with and engages the latch on the wheelchair is attached to a standard which in turn is secured to the vehicle, transport system or structure. A preferred embodiment of the invention further includes a back pad and a head rest and shoulder and seat belt which attaches to the standard.",Johanna,No,wheelchair,,,No
2301,"A system is provided for persons who must remain seated for extended periods of time, such as persons working in offices and the like. The system includes one or two support surfaces for the feet of the user, which are moved by a motor driven base. The support surfaces perform an alternating longitudinal movement, a lifting and lowering movement or a movement combining the two movements. The support surfaces are moved by, in one example, support rods hingedly connected to a central point of the support surfaces and at the other end to eccentric pivots allocated to respective toothed wheels which are mounted so at to rotate about their respective axis. An intermediate motor-driven pinion conveys rotational movement in the opposite direction to the wheels and are placed between the wheels. The support surfaces may be a bar that is transverse relative to the motor-driven base, which is preferably used in mass transit vehicles such as motor coaches, airplanes, etc.",Rohan,No,,,,No
2315,A microprocessor-based control system includes an automatic calibration and configuration feature. A calibration and configuration algorithm operates to establish the sensor ranges of all sensors installed and disables certain configurable features if the associated sensors are not present. The algorithm also provides a functional test of the control system during the calibration process.,Raymond,No,,,,No
2342,"A row crop unit (10) is provided with cooperating pairs of molded belts (40), the belts (40) being supported from overhead frame members (20, 22, 24, 26) whereby the build-up of trash within the unit is minimized. A cutoff mechanism (100) is provided, the mechanism (100) being driven by a drive mechanism (110, 112, 114, 116, 118, 120) independent of the belts (40) whereby high driving torques on the belts (40) are avoided. The forward ends of the belts (40) are carried by spaced apart sprockets (56) located forwardly of the cutoff mechanism (100) to insure that standing crop material is properly gathered and engaged prior to severing by the cutoff mechanism (100).",Lior,No,Not at all relater to AU.,,,No
2387,"A breathing assistance apparatus operates in alternating inhalation and expiratory phases wherein a) the control means of the apparatus comprise selection means capable of selecting a pressure parameter or a flow rate parameter to define; b) the reference value for the gas source, the selection means are controlled by an automatic control unit being: I) connected to pressure and flow rate sensors situated on the inhalation duct to form a direct closed regulation loop for selecting a reference value parameter, II) associated to a program allowing the selection to be made in real time from a pressure or flow rate signal, so that the association of a direct closed regulation circuit for the selection of a reference value parameter with a valve permitting proportional operation, allows real time control of barometric and volumetric operating modes, between and during the inhalation and expiratory phases. The invention also concerns associated operating processes.",Jamie,No,healthcare breathing assistance,,,No
2423,"By increasing the mass and reducing the surface friction of the piston driving a penetrating bolt in an animal stunning gun and providing that bolt with a conically-shaped recess at its tip, maximum penetrating force with minimum gun complexity is achieved. The control valve releases the piston driving fluid, e.g. compressed air, very rapidly for the maximum surge effect on the piston driving the bolt. Further simplification of the gun without the sacrifice of any performance is achieved by utilizing magnetic or mechanical retention means for the bolt prior to the firing of the gun.",Zara,No,animal stunning gun,,,No
2426,"This invention relates to polysaccharide materials and more particularly to microbial cellulose having suitable implantation properties for repair or replacement of soft tissue. The invention also relates to the use of the implantable microbial cellulose as scaffolds for tendon and ligament repair, tissue closure reinforcement, buttresses for reinforcement of the soft tissue, adhesion barriers, articular cartilage repair, pericardial patches, bone graft substitutes, and as carrier vehicles for drug or other active agent delivery for repair or regeneration of tissue.",Johanna,No,biomedical,,,No
2447,"Described are articles having, at least, an outer surface comprising unalloyed oxidized Zirconium with Niobium having a thickness and configurations suitable for sports equipment, golf clubs, aircraft, boat hulls, motor vehicle, propellers, helicopter rotors, and various other non-medical applications.",Rohan,No,,,,Yes
2456,"The invention relates to a Neuro-navigation system comprising a reflector referencing system including passive reflectors and a marker system with markers or landmarks wherein the reflectors as well as the markers as regards their shape, size and material selection as well as their arrangement or attachment on the parts of the body to be operatively treated and on the surgical instruments are configured so that mapping their locations is substantially facilitated or is able to take place more accurately positioned by a computer/camera unit having a graphic display terminal as well as the operative treatment with the aid of this unit. Optionally a surgical microscope, an ultrasonic diagnostic system as well as a calibration procedure may be integrated in the Neuro-navigation system in accordance with the invention.",Raymond,No,,,,No
2466,"There is provided a toy for playing the baseball game. The toy for playing the baseball game consists of a main body of the toy and a cover member for covering the main body. The main body includes; a first rotary member bearing on the outer surface thereof plural displays for displaying the kind of pitching and the kind of offense in the baseball game; a second rotary member bearing on the outer surface thereof plural displays for displaying the kind of fielding in the baseball game; driving elements for rotating said first and second rotary members in the interlocking arrangement with each other; first stopping elements for stopping the rotation of said first rotary member; and second stopping elements for stopping the rotation of said second rotary member; and said cover member includes: a first window allowing the players to see therethrough one display of said displays on said first rotary member; a second window allowing the players to see therethrough one display of said displays on the first rotary member; and a plurality of third windows, each allowing the players to see therethrough one display of said displays on said second rotary member.",Lior,No,Toy design.,,,No
2686,"A screen baseball game apparatus without temporal and spatial limitations includes a pitching machine unit pitching a ball according to a pitch type selected by a defense, a batting detection unit detecting batting of a batter, a game management unit registering a user personal bank, periodically checking screen baseball devices, performing a simulation along the trajectory of a batted ball converted from received batting detection data, and outputting simulation information, a game photographing unit photographing batting of a batter, a screen displaying pitching, the simulation information, and the batting image, a screen driving unit receiving the batting image and the simulation information and reproducing them on the screen, a game server matching stores having available screen game devices, a database storing the periodic check data, an available game schedule, the batting image, and game information, and a device control unit receiving the control instruction for integral monitoring and controlling.",Jamie,No,baseball game,,,No
2704,A method of drying fresh plant material wherein the fresh plant material containing a desired heat labile compound is exposed to microwave energy at an intensity and for a time sufficient to remove a majority of the water from the plant material without degrading a majority of the heat labile compound. The method is particularly suited to in-field drying of freshly harvested plant material to reduce the weight and volume of the plant material for savings transportation costs to an extraction facility while preserving at high levels the amount and activity of the desired heat labile compound.,Zara,No,drying plant material,,,No
2728,"An agricultural utility vehicle includes a computer to execute the steps of storing data representing steering direction, position and speed of the agricultural vehicle; recognizing repeated drive events wherein each drive event comprises a plurality of serially performed functions including changing steering direction, changing speed and changing lift position of a hitch of the agricultural utility vehicle; displaying each function on a screen and enabling a user to skip functions and execute subsequent functions; executing the functions to automatically control the vehicle on private areas, which are determined in accordance with means for sensing position; blocking execution of the functions in public areas; deactivating control when obstacles are encountered, wherein the obstacles are recognized by way of signals received from cameras mounted on the agricultural vehicle; and periodically prompting a user for input.",Johanna,Yes,Automated control of vehicle functions,,,No
2738,"The invention relates to: A medication delivery device ( 1 ) for delivering a specific dose comprising a medication cartridge ( 11 ) having an outlet ( 111 ) and a piston ( 112 ), and means ( 12 ) for holding said cartridge, and a piston rod ( 13 ) being operable to engage and displace said piston, and electrically driven actuating means ( 15 ), and driving means ( 161, 162 ) for transferring movement from said actuating means to said piston rod, and memory means ( 17 ) for storing data, and processing means ( 18 ) for evaluating said data and for controlling said actuating means. The object of the present invention is to provide a medication delivery system that combines a relatively high dose accuracy with the use of relatively low quality mechanical components and which enables compensation for built-in non-linearities. The problem is solved in that a first set of data ( 19 ) describing the actual movement ( 130 ) of said piston rod ( 13 ) relative to said medication cartridge ( 11 ) as a function of the movement ( 150 ) of said actuating means ( 15 ) is stored in said memory means ( 17 ), and the movement ( 130 ) of the piston rod ( 13 ) governing the delivered dose is controlled by the processing means ( 18 ) on the basis of said first set of data ( 19 ). This has the advantage of allowing compensation for mechanical inaccuracies and built-in non-linearities linearities. The invention may e.g. be used in injection or infusion devices for a person&#39;s self-treatment of a disease such as diabetes.",Rohan,No,,,,No
2752,"Disclosed is a bed integrated surgical robot. The bed integrated surgical robot comprises a supporting part, a frame supported by the supporting part, a table supported by the frame and on which a surgical patient is laid and a surgical robot arm installed on the frame and manipulated to reach for the surgical patient, wherein the robot arm is formed of a plurality of joints and deposited on the frame by driving the plurality of joints, and is easy to deposit, install, move, allows an assistant surgeon to easily access a patient under surgery, requires no additional space to install the robot, and functions as a patient bed.",Raymond,No,,,,No
2754,"A toy vehicle that is battery powered and driven by an electric motor mounted on the vehicle. The toy vehicle is designed for high and low speed operation in both a two-wheel drive mode and a four-wheel drive mode, as well as having a free wheel mode where the wheels are not in driving engagement with the electric motor. Thus the toy vehicle has at least five operating modes: 1) a higher speed two-wheel drive mode; 2) a lower speed two-wheel drive mode; 3) a higher speed four-wheel drive mode; 4) a lower speed four-wheel drive mode; and 5) a free wheel mode. Providing the toy vehicle with all of these operating modes makes the vehicle more interesting to children. In addition, the front end of the toy vehicle is designed to light up thereby increasing the visual appeal of the vehicle, especially for children. Further, the toy vehicle employs a unique electrical connection between the battery and the electric motor that does not require soldering or wiring, thereby simplifying assembly of the vehicle. Furthermore, a light bulb associated with the vehicle is electrically wired to the battery using clips, thereby eliminating the use of soldering.",Lior,No,Toy vehicle,,,No
2793,"A side-actuated braking system using natural foot movements is employed in each of a pair of wheeled, foot vehicles. Each of the vehicles is provided with a braking member including a side-engaging slidable plate, a wheel rotation retardation member such as a caliper, and an interconnection member. The slidable plate is provided at one edge with a row of teeth and is adapted for arrangement on one of a pair of the vehicles with the teeth extending outwardly and opposingly from the foot vehicle for engagement with a similar row of teeth on the other of the pair of vehicles. The interconnection member connects the slidable plate with the wheel rotation retardation member in a manner such that sliding movement of the plate from a first position to a second position actuates the wheel rotation retardation member from a nonbraking position to a braking position. Braking of the foot vehicles is effected by engaging the opposing, toothed edges of their slidable plates, and then moving one foot vehicle forward of the other. The foot vehicles further include an easily mountable and dismountable ankle bracing and shod foot retaining member, and a backstopping member for enabling uphill travel and facilitating level travel. With the side-actuated braking system providing safe downhill travel, these vehicles, for use with conventional walking shoes, constitute a practical transport mode, per se, or auxiliary to mass transit.",Jamie,No,different foot vehicle,,,No
2906,"An ECG device designed as a portable hand-held device, comprising a housing, on the outer face of which a plurality of ECG sensors in the form of capacitive electrodes is arranged in a sensor region, characterized by the following features: the EGG device has at least one flexible retaining mat in the sensor region, which retaining mat is designed to retain at least some or all ECG sensors, the retaining mat is made of liquid-tight material, at least some or all ECG sensors are fastened to the outer face of the retaining mat facing away from the housing.",Zara,No,ECG,,,No
2921,"The present invention is directed to an improved denture adhesive composition. In particular, this invention is directed to a denture adhesive composition free of a hydrocarbon vehicle, such as petrolatum or mineral oil.",Johanna,No,,,,No
2967,"A method and apparatus are provided for changing the form of the jaw and facial bones of an adult patient that did not develop fully during childhood. The method utilizes a device having a plate body with an expansion screw that fits within the mouth of the patient; flap springs that project from the plate body, and an overlay extending from the plate body. The device is placed within the mouth of the patient so that the overlay is in a position between at least two opposing teeth. In this position, opposing teeth contact the overlay during function (e.g. swallowing). This intermittent, unilateral application of force to the facial bones causes these bones to further develop, positioning out of place teeth into more proper positions, and inducing a more symmetrical and enhanced appearance of the face, as well as increasing the airway space behind the jaws. Concomitantly, the flap springs gently press against selected teeth that are out of alignment in order to guide those teeth into place. Simultaneously, the expansion device maintains these forces on the teeth, while assisting the jawbones to expand to accept the teeth in their proper position. The expansion device can be adjusted by small motors under the control of a microprocessor located on the body plate based on readings from sensors on the flap springs. The expansion device can be adjusted by remote signaling, using a global position satellite technology and global position coordinates.",Rohan,No,,,,No
2976,"A programmable implantable pump is disclosed. The pump includes an implantable pump and a hermetically sealed module. The module provides for varying flow rates of fluid being dispensed from the pump or may provide for a constant flow rate of such fluid. In the case of varying flow rate capabilities, the module preferably includes one or more sensors to determine information relating to the pressure of the fluid, electronics for analyzing the pressure information and determining the flow rate of the fluid, and a mechanism for physically altering the flow rate. Methods of dispensing a medicament to a patient utilizing such a system are also disclosed, as are variations of the pump system.",Raymond,No,,,,No
